Date,Forecasted_Sales
2024-12-11,4468758.450983981
2024-12-12,4448142.749462992
2024-12-13,4464276.615070206
2024-12-14,4451650.23807466
2024-12-15,4461531.651488837
2024-12-16,4453798.448916451
2024-12-17,4459850.459850409
2024-12-18,4455114.1509276945
2024-12-19,4458820.790333369
2024-12-20,4455919.971170622
2024-12-21,4458190.154723432
2024-12-22,4456413.507137248
2024-12-23,4457803.913054684
2024-12-24,4456715.780196894
2024-12-25,4457567.353900195
2024-12-26,4456900.911593116
2024-12-27,4457422.46991149
2024-12-28,4457014.297926346
2024-12-29,4457333.733670322
2024-12-30,4457083.742984427
2024-12-31,4457279.3859085925
2025-01-01,4457126.275589146
2025-01-02,4457246.099855835
2025-01-03,4457152.325282446
2025-01-04,4457225.713343623
2025-01-05,4457168.279784304
2025-01-06,4457213.22733685
2025-01-07,4457178.051343862
2025-01-08,4457205.5801059995
2025-01-09,4457184.036073253
2025-01-10,4457200.89645167
2025-01-11,4457187.701505129
2025-01-12,4457198.027881554
2025-01-13,4457189.946450549
2025-01-14,4457196.270985352
2025-01-15,4457191.321399017
2025-01-16,4457195.194949508
2025-01-17,4457192.163505588
2025-01-18,4457194.535916187
2025-01-19,4457192.679265627
2025-01-20,4457194.1322819395
2025-01-21,4457192.995150133
2025-01-22,4457193.885070456
2025-01-23,4457193.188618052
2025-01-24,4457193.733662298
2025-01-25,4457193.307110206
2025-01-26,4457193.640930237
2025-01-27,4457193.379682396
2025-01-28,4457193.584135179
2025-01-29,4457193.424130256
2025-01-30,4457193.549350246
2025-01-31,4457193.451352975
2025-02-01,4457193.528045723
2025-02-02,4457193.468025913
2025-02-03,4457193.514997467
2025-02-04,4457193.478237489
2025-02-05,4457193.50700588
2025-02-06,4457193.484491712
2025-02-07,4457193.5021113185
2025-02-08,4457193.488322199
2025-02-09,4457193.499113576
2025-02-10,4457193.490668235
2025-02-11,4457193.497277566
2025-02-12,4457193.492105098
2025-02-13,4457193.496153076
2025-02-14,4457193.492985126
2025-02-15,4457193.495464367
2025-02-16,4457193.493524111
2025-02-17,4457193.495042557
2025-02-18,4457193.49385422
2025-02-19,4457193.494784214
2025-02-20,4457193.4940564
2025-02-21,4457193.4946259875
2025-02-22,4457193.494180228
2025-02-23,4457193.49452908
2025-02-24,4457193.494256068
2025-02-25,4457193.494469727
2025-02-26,4457193.494302518
2025-02-27,4457193.494433376
2025-02-28,4457193.494330966
2025-03-01,4457193.494411112
2025-03-02,4457193.494348389
2025-03-03,4457193.494397475
2025-03-04,4457193.49435906
2025-03-05,4457193.494389124
2025-03-06,4457193.494365596
2025-03-07,4457193.494384009
2025-03-08,4457193.494369599
2025-03-09,4457193.494380876
2025-03-10,4457193.494372051
