Transaction_Date,Daily_Sales,Num_Transactions,Num_Companies,Num_Products,Total_Quantity,Year,Month,Day,Day_of_Week,Quarter,Week_of_Year,Is_Weekend,Is_Month_Start,Is_Month_End,Sales_Lag_1d,Sales_Lag_7d,Sales_Lag_30d,Sales_Lag_90d,Sales_MA_7d,Sales_Std_7d,Sales_MA_30d,Sales_Std_30d,Sales_MA_90d,Sales_Std_90d,Sales_Growth_7d,Sales_Growth_30d,Avg_Transaction_Size,High_Value_Sales,High_Value_Pct,Cumulative_Monthly_Sales,Cumulative_Quarterly_Sales
2020-01-11,2156000.0,1.0,1.0,1.0,10.0,2020,1,11,5,1,2,1,0,0,0.0,0.0,0.0,0.0,2156000.0,0.0,2156000.0,0.0,2156000.0,0.0,0.0,0.0,1078000.0,2156000.0,99.99995361783228,2156000.0,2156000.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,2020,1,12,6,1,2,1,0,0,2156000.0,0.0,0.0,0.0,1078000.0,1524522.2202381964,1078000.0,1524522.2202381964,1078000.0,1524522.2202381964,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,2020,1,13,0,1,3,0,0,0,0.0,0.0,0.0,0.0,718666.6666666666,1244767.1803728333,718666.6666666666,1244767.1803728333,718666.6666666666,1244767.1803728333,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,2020,1,14,1,1,3,0,0,0,0.0,0.0,0.0,0.0,539000.0,1078000.0,539000.0,1078000.0,539000.0,1078000.0,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,2020,1,15,2,1,3,0,0,0,0.0,0.0,0.0,0.0,431200.0,964192.5118979093,431200.0,964192.5118979093,431200.0,964192.5118979093,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,2020,1,16,3,1,3,0,0,0,0.0,0.0,0.0,0.0,359333.3333333333,880183.3142400887,359333.3333333333,880183.3142400887,359333.3333333333,880183.3142400887,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,2020,1,17,4,1,3,0,0,0,0.0,0.0,0.0,0.0,308000.0,814891.403807894,308000.0,814891.403807894,308000.0,814891.403807894,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,2020,1,18,5,1,3,1,0,0,0.0,2156000.0,0.0,0.0,0.0,0.0,269500.0,762261.1101190983,269500.0,762261.1101190983,-99.99995361783228,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,2020,1,19,6,1,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,239555.55555555556,718666.6666666667,239555.55555555556,718666.6666666667,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,2020,1,20,0,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,215600.0,681787.0635323026,215600.0,681787.0635323026,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,2020,1,21,1,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,196000.0,650058.4589096584,196000.0,650058.4589096584,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,2020,1,22,2,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,179666.66666666666,622383.5901864166,179666.66666666666,622383.5901864166,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,2020,1,23,3,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,165846.15384615384,597966.811530797,165846.15384615384,597966.811530797,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,2020,1,24,4,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,154000.0,576215.237563187,154000.0,576215.237563187,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,2020,1,25,5,1,4,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,143733.33333333334,556676.8062948794,143733.33333333334,556676.8062948794,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,2020,1,26,6,1,4,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,134750.0,539000.0,134750.0,539000.0,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,2020,1,27,0,1,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,126823.5294117647,522906.80757833394,126823.5294117647,522906.80757833394,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,2020,1,28,1,1,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,119777.77777777778,508174.07341273216,119777.77777777778,508174.07341273216,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,2020,1,29,2,1,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,113473.68421052632,494620.3222249312,113473.68421052632,494620.3222249312,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,2020,1,30,3,1,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,107800.0,482096.2559489547,107800.0,482096.2559489547,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,2020,1,31,4,1,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,102666.66666666667,470477.77134879964,102666.66666666667,470477.77134879964,0.0,0.0,0.0,0.0,0.0,2156000.0,2156000.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,2020,2,1,5,1,5,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,98000.0,459660.74446269614,98000.0,459660.74446269614,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,2020,2,2,6,1,5,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,93739.13043478261,449557.07670705323,93739.13043478261,449557.07670705323,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,2020,2,3,0,1,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,89833.33333333333,440091.65712004434,89833.33333333333,440091.65712004434,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,2020,2,4,1,1,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,86240.0,431200.00000000006,86240.0,431200.00000000006,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,2020,2,5,2,1,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,82923.07692307692,422826.3873579248,82923.07692307692,422826.3873579248,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,2020,2,6,3,1,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,79851.85185185185,414922.3934576111,79851.85185185185,414922.3934576111,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,2020,2,7,4,1,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,407445.701903947,77000.0,407445.701903947,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,2020,2,8,5,1,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,74344.8275862069,400359.14910972386,74344.8275862069,400359.14910972386,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,2020,2,9,6,1,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,71866.66666666667,393629.9446603794,71866.66666666667,393629.9446603794,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,2020,2,10,0,1,7,0,0,0,0.0,0.0,2156000.0,0.0,0.0,0.0,0.0,0.0,69548.3870967742,387229.0311697267,0.0,-99.99995361783228,0.0,0.0,0.0,0.0,2156000.0
2020-02-11,7963200.0,3.0,3.0,3.0,55.0,2020,2,11,1,1,7,0,0,0,0.0,0.0,0.0,0.0,1137600.0,3009806.6914670784,265440.0,1453874.756641713,316225.0,1446474.5375366742,796320000.0,796320000.0,1990800.0,6440000.0,80.87200109604166,7963200.0,10119200.0
